sentence,accuracy
[ 21   2 171   9   8  13   3   2  13   5],False
[ 44 921  11  18   5],False
"[ 876    5   13    3  323    3   62   34    5  328   17    3   56    2
  261    9    5    2 1539   88  139   13 1260]",False
[ 48  16 800],False
"[  14    2   13    3   27   11   12  136   14   34 1943    3   86    2
   16    5    5]",False
[ 14  22 262   3  61  16  17  72  20   2  25  16  26   8   8   3],False
"[  2 230 787   3   8   3  11  29  16   3  16 448   5   5  13  78  16   5
   5]",False
[ 5 30  5],False
[910  13 973],False
[ 8 30  5 10 13],False
