sentence,accuracy
[5],False
[186   5 381   5],False
[ 101    3    2    8   11   32   42   18 1474],False
"[ 54   5  19   5  24   2   5  38   5  40 426   3  86   2   5  38   5  40
 426]",False
"[   8    5   18   15   44 1818    8  883   14    2  120  122  137   20
    5    3  153   71   11    5   12  139   25    5   26 1668    9    2
  120  204    3   15   36    2  649]",False
"[   2   16  286   19   15    2  326    9    2    5    3 1181    2   16
  286]",False
[1037   17    9   22  370   85],False
[  8 727],False
[  5 150 107  18   2 484  30   5],False
[  2  16   5   3  36  68   2   5   5 381  28   8   3],False
