sentence,loss
"[  72  591   68    5   18    2  272  805   14 1799    2    5    8  117
  722   21  100  421  227]",5.123601573725107e-05
[  43  116 1139   18  118    5   15    5   12   55    5   47],8.05240419394294
[   2  121    5   18 1394   31 1180   14 1180],6.1772127275074835
[259  14  22 197   3   2   5],5.858546373394978
[ 259   14    2  893   13    9    5   13    3    2    5    9   22 1283],5.61057239388048
"[ 682    8   25   57    5   26    3    2   63    5    9   70    5    3
 1866    2    8    8    3   12 1962    5   36    5    8    5  134]",4.912447511320202
"[  5   3 153   8   5 238   2   5   9  42   2   8   3  27  35   2 227  18
   2   5]",4.2879929221523145
[  15   29 1003   55 1834  170    3 1280  421 1391],4.28755353764607
[ 14  22 262   3  61  16  17  72  20   2  25  16  26   8   8   3],4.2076026905611235
[926  21   2   5  31 503   9   5 384   5  10  12   5 192],4.148780694075699
