sentence,accuracy
"[   8    3   12    5 1020    5   75  802    2 1884   14    5    5   10
   45 1317    9   13    3   16    5 1593   14    5   18    2   59  131
   14  914    2    5    5]",False
[   2 1641],True
[ 92   9  13   9   8   3   2 173],True
[  2 172],True
[ 2 17],True
[ 22 579],True
[   2    5 1263   97   44   28   44    3   10   12  424   13],True
[  61   13 1259],True
[  12   13   11   49   28    2  641   13  379    3   10   79   70 1323],True
"[  27   11    5  111   48  448    5    3  621   17   10  525 1539    3
    2  174]",True
